00NAMA,Aberffraw
00NCRP,Llanbedrog
00NCRQ,Llanberis
00NCRR,Llandderfel
00NCRS,Llanengan
00NCRT,Llangelynnin
00NCRU,Llanllyfni
00NCRW,Llanrug
00NCRX,Llanuwchllyn
00NCRY,Llanwnda
00NCRZ,Llanystumdwy
00NCSA,Marchog
00NCSB,Menai (Bangor)
00NCSC,Menai (Caernarfon)
00NCSD,Morfa Nefyn
00NCSE,Nefyn
00NCSF,Ogwen
00NCSG,Peblig (Caernarfon)
00NCSH,Penisa'r-waun
00NCSJ,Penrhyndeudraeth
00NCSK,Pentir
00NCSL,Pen-y-groes
00NCSM,Porthmadog - Dwyrain
00NCSN,Porthmadog - Gorllewin
00NCSP,Porthmadog - Tremadog
00NCSQ,Pwllheli - Gogledd
00NCSR,Pwllheli - De
00NCST,Seiont
00NCSU,Talysarn
00NCSW,Teigl
00NCSX,Trawsfynydd
00NCSY,Tregarth & Mynydd Llandygai
00NCSZ,Tudweiliog
00NCTA,Tywyn
00NCTB,Waunfawr
00NCTC,Y Felinheli
00NENT,Abergele Pen-sarn
00NENU,Betws-y-Coed
00NENW,Betws yn Rhos
00NENX,Bryn
00NENY,Caerhun
00NENZ,Capel Lluo
00NEPA,Colwyn
00NEPB,Conwy
00NEPC,Craig-y-don
00NEPD,Crwst
00NEPE,Deganwy
00NEPF,Eglwysbach
00NEPG,Eirias
00NEPH,Gele
00NEPJ,Glyn
00NEPK,Gogarth
00NEPL,Gwyr
00NEPM,Bae Cinmel
00NEPN,Llanddulas
00NEPP,Llandrillo yn Rhos
00NEPQ,Llangernyw
00NEPR,Llansanffraid
00NEPS,Llansannan
00NEPT,Llysfaen
00NEPU,Marl
00NEPW,Mochdre
00NEPX,Mostyn
00NEPY,Pandy
00NEPZ,Pant-yr-afon/Penmaenan
00NEQA,Penrhyn
00NEQB,Pen-sarn
00NEQC,Pentre Mawr
00NEQD,Rhiw
00NEQE,Tywyn
00NEQF,Trefriw
00NEQG,Tudno
00NEQH,Uwch Conwy
00NEQJ,Uwchaled
00NGNK,Bodelwyddan
00NGNL,Corwen
00NGNM,Dinbych - Canol
00NGNN,Dinbych-Isaf
00NGNP,Dinbych Uchaf/Henllan
00NGNQ,Diserth
00NGNR,Efenechdyd
00NGNS,Llanarmon-yn-Il/Llandegla
00NGNT,Llanbedr Dyffryn Clwyd/Llangynhafal
00NGNU,Llandrillo
00NGNW,Llandyrnog
00NGNX,Llanfair Dyffryn Clwyd/Gwyddelwern
00NGNY,Llangollen
00NGNZ,Llanrhaeadr-yng-Nghinmeirch
00NGPA,Prestatyn - Canol
00NGPB,Prestatyn - Dwyrain
00NGPC,Prestatyn Allt Melyd
00NGPD,Prestatyn - Gogledd
00NGPE,Prestatyn - De Orllewin
00NGPF,Rhuddlan
00NGPG,Rhyl - Dwyrain
00NGPH,Rhyl - De
00NGPJ,Rhyl - De Ddwyrain
00NGPK,Rhyl - De-Orllewin
00NGPL,Rhyl - Gorllewin
00NGPM,Rhuthun
00NGPN,Llanelwy - Dwyrain
00NGPP,Llanelwy - Gorllewin
00NGPQ,Trefnant
00NGPR,Tremeirchion
00NJPJ,Argoed
00NJPK,Aston
00NJPL,Bagillt - Dwyrain
00NJPM,Bagillt - Gorllewin
00NJPN,Brychdyn - Gogledd Ddwyrain
00NJPP,Brychdyn - De
00NJPQ,Brynffordd
00NJPR,Bwcle Dwyrain Bistre
00NJPS,Bwcle Gorllewin Bistre
00NJPT,Mynydd Bwcle
00NJPU,Bwcle Pontrobin
00NJPW,Caergwrle
00NJPX,Caerwys
00NJPY,Cilcain
00NJPZ,Cei Connah - Canol
00NJQA,Cei Connah - Golftyn
00NJQB,Cei Connah - De
00NJQC,Cei Connah Gwepre
00NJQD,Ewlo
00NJQE,Ffynongroyw
00NJQF,Y Fflint - Castell
00NJQG,Y Fflint - Cwnsyllt
00NJQH,Y Fflint - Oakenholt
00NJQJ,Y Fflint - Trelawny
00NJQK,Maes-glas
00NJQL,Gronant
00NJQM,Gwernaffield
00NJQN,Gwernymynydd
00NJQP,Helygain
00NJQQ,Penarleg
00NJQR,Kinnerton Uchaf
00NJQS,Treffynnon - Canol
00NJQT,Treffynnon - Dwyrain
00NJQU,Treffynnon - Gorllewin
00NJQW,Yr Hìb
00NJQX,Coed-llai
00NJQY,Llanfynydd
00NJQZ,Mancot
00NJRA,Yr Wyddgrug - Broncoed
00NJRB,Yr Wyddgrug - Dwyrain
00NJRC,Yr Wyddgrug - De
00NJRD,Yr Wyddgrug - Gorllewin
00NJRE,Mostyn
00NJRF,Pentre'r Diawl
00NJRG,Llaneurgain
00NJRH,Pentre'r Moch
00NJRJ,Pen-y-ffordd
00NJRK,Queensferry
00NJRL,Saltney Cyffordd yr Wyddgrug
00NJRM,Saltney Stonebridge
00NJRN,Sealand
00NJRP,Shotton - Dwyrain
00NJRQ,Shotton Uchaf
00NJRR,Shotton - Gorllewin
00NJRS,Trelawnyd a Gwaenysgor
00NJRT,Treuddyn
00NJRU,Chwitffordd
00NLNW,Acton
00NLNX,Parc Borras
00NLNY,Bronington
00NLNZ,Brymbo
00NLPA,Brynyffynnon
00NLPB,Bryn Cefn
00NLPC,Cartrefle
00NLPD,Cefn
00NLPE,Dyffryn Ceiriog
00NLPF,Y Waun - Gogledd
00NLPG,Y Waun - De
00NLPH,Coedpoeth
00NLPJ,Erddig
00NLPK,Esclusham
00NLPL,Garden Village
00NLPM,Gresffordd - Dwyrain a Gorllewin
00NLPN,Grosvenor
00NLPP,Gwenfro
00NLPQ,Gwersyllt - Dwyrain a De
00NLPR,Gwersyllt - Gogledd
00NLPS,Gwersyllt - Gorllewin
00NLPT,Hermitage
00NLPU,Holt
00NLPW,Johnstown
00NLPX,Little Acton
00NLPY,Llangollen Wledig
00NLPZ,Llai
00NLQA,Maes-y-dre
00NLQB,Marchwiel
00NLQC,Marford a Hoseley
00NLQD,Mwynglawdd
00NLQE,New Broughton
00NLQF,Offa
00NLQG,Owrtyn
00NLQH,Pant
00NLQJ,Pen-y-cae
00NLQK,Penycae a De Rhiwabon
00NLQL,Plas Madoc
00NLQM,Ponciau
00NLQN,Queensway
00NLQP,Rhosnesni
00NLQQ,Yr Orsedd
00NLQR,Rhiwabon
00NLQS,Smithfield
00NLQT,Stansty
00NLQU,Whitegate
00NLQW,Wynnstay
00NNQG,Aber-craf
00NNQH,Banwy
00NNQJ,Bugeildy
00NNQK,Aberriw
00NNQL,Blaen Hafren
00NNQM,Bronllys
00NNQN,Llanfair-ym-Muallt
00NNQP,Bwlch
00NNQQ,Caersws
00NNQR,Yr Ystog
00NNQS,Crughywel
00NNQT,Cwm-twrch
00NNQU,Dyserth a Thre-coed
00NNQW,Dolforwyn
00NNQX,Felin-fech
00NNQY,Ffordun
00NNQZ,Glantwymyn
00NNRA,Y Clas-ar-wy
00NNRB,Cegidfa
00NNRC,Gwernyfed
00NNRD,Y Gelli Gandryll
00NNRE,Ceri
00NNRF,Tref-y-clawdd
00NNRG,Llanafan Fawr
00NNRH,Llanbadarn Fawr
00NNRJ,Llanbryn-mair
00NNRK,Llandinam
00NNRL,Llandrindod - Dwyrain/Llandrindod - Gorllewin
00NNRM,Llandrindod - Gogledd
00NNRN,Llandrindod - De
00NNRP,Llandrinio
00NNRQ,Llandysilio
00NNRR,Llanelwedd
00NNRS,Llanfair Caereinion
00NNRT,Llanfihangel
00NNRU,Llanfyllin
00NNRW,Llangatwg
00NNRX,Llan-gors
00NNRY,Llangynllo
00NNRZ,Llangynidr
00NNSA,Llanidloes
00NNSB,Llanwddyn
00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin
00NNSD,Llansanffraid
00NNSE,Llanwrtyd
00NNSF,Llanllyr
00NNSG,Machynlleth
00NNSH,Maes-car/Llywel
00NNSJ,Meifod
00NNSK,Trefaldwyn
00NNSL,Nantmel
00NNSM,Y Drenewydd - Canol
00NNSN,Y Drenewydd - Dwyrain
00NNSP,Y Drenewydd Gogledd Llanllwchaearn
00NNSQ,Y Drenewydd Gorllewin Llanllwchaearn
00NNSR,Y Drenewydd - De
00NNST,Pencraig
00NNSU,Llanandras
00NNSW,Rhaeadr Gwy
00NNSX,Rhiwcynon
00NNSY,St. David Fewnol
00NNSZ,St. John
00NNTA,St. Mary
00NNTB,Talgarth
00NNTC,Tal-y-bont ar Wysg
00NNTD,Tawe-Uchaf
00NNTE,Tre-wern
00NNTF,Y Trallwng - Castell
00NNTG,Y Trallwng Gungrog
00NNTH,Y Trallwng Llanerchyddol
00NNTJ,Ynysgedwyn
00NNTK,Ysgir
00NNTL,Ystradgynlais
00NQNP,Aberaeron
00NQNQ,Aberporth
00NQNR,Aberteifi - Mwldan
00NQNS,Aberteifi - Rhyd-y-Fuwch
00NQNT,Aberteifi - Teifi
00NQNU,Aberystwyth Bronglais
00NQNW,Aberystwyth Canol
00NQNX,Aberystwyth Gogledd
00NQNY,Aberystwyth Penparcau
00NQNZ,Aberystwyth Rheidol
00NQPA,Beulah
00NQPB,Borth
00NQPC,Capel Dewi
00NQPD,Ceulanamaesmawr
00NQPE,Ciliau Aeron
00NQPF,Faenor
00NQPG,Llanbedr Pont Steffan
00NQPH,Llanarth
00NQPJ,Llanbadarn Fawr - Padarn
00NQPK,Llanbadarn Fawr - Sulien
00NQPL,Llandyfrãog
00NQPM,Llandysiliogogo
00NQPN,Tref Llandysul
00NQPP,Llanfarian
00NQPQ,Llanfihangel Ystrad
00NQPR,Llangeitho
00NQPS,Llangybi
00NQPT,Llanrhystud
00NQPU,Llansanffraid
00NQPW,Llanwenog
00NQPX,Lledrod
00NQPY,Melindwr
00NQPZ,Ceinewydd
00NQQA,Penbryn
00NQQB,Pen-parc
00NQQC,Tirymynach
00NQQD,Trefeurig
00NQQE,Tregaron
00NQQF,Troedyraur
00NQQG,Ystwyth
00NSPH,Amroth
00NSPJ,Burton
00NSPK,Camrose
00NSPL,Caeriw
00NSPM,Cilgerran
00NSPN,Clydau
00NSPP,Crymych
00NSPQ,Dinas
00NSPR,East Williamston
00NSPS,Abergwaun - Gogledd-ddwyrain
00NSPT,Abergwaun - Gogledd-orllewin
00NSPU,Wdig
00NSPW,Hwlffordd - Castell
00NSPX,Hwlffordd - Garth
00NSPY,Hwlffordd - Portfield
00NSPZ,Hwlffordd - Prendergast
00NSQA,Hwlffordd - Priordy
00NSQB,Hundleton
00NSQC,Johnston
00NSQD,Cilgeti/Begeli
00NSQE,Llanbedr Efelffre
00NSQF,Llandyf†i
00NSQG,Treletert
00NSQH,Llangwm
00NSQJ,Llanrhian
00NSQK,Maenclochog
00NSQL,Maenorbyr
00NSQM,Martletwy
00NSQN,Pont Fadlen
00NSQP,Aberdaugleddau - Canol
00NSQQ,Aberdaugleddau - Dwyrain
00NSQR,Aberdaugleddau - Hakin
00NSQS,Aberdaugleddau - Hubberston
00NSQT,Aberdaugleddau - Gogledd
00NSQU,Aberdaugleddau - Gorllewin
00NSQW,Arberth
00NSQX,Arberth Gwledig
00NSQY,Trefdraeth
00NSQZ,Neyland - Dwyrain
00NSRA,Neyland - Gorllewin
00NSRB,Doc Penfro - Canol
00NSRC,Doc Penfro - Llanion
00NSRD,Doc Penfro - Marchnad
00NSRE,Doc Penfro - Pennar
00NSRF,Penfro - Monkton
00NSRG,Penfro - Santes Fair Gogledd
00NSRH,Penfro - Santes Fair De
00NSRJ,Penfro - Sant Mihangel
00NSRK,Penalun
00NSRL,Rudbaxton
00NSRM,Tyddewi
00NSRN,Llandudoch
00NSRP,Llanisan yn Rhos
00NSRQ,Saundersfoot
00NSRR,Scleddau
00NSRS,Solfach
00NSRT,Dinbych y Pysgod - Gogledd
00NSRU,Dingych y Pysgod - De
00NSRW,Yr Havens
00NSRX,Cas-wis
00NUPW,Abergwili
00NUPX,Rhydaman
00NUPY,Betws
00NUPZ,Bigyn
00NUQA,Porth Tywyn
00NUQB,Bynea
00NUQC,Tre Caerfyrddin - Gogledd
00NUQD,Tre Caerfyrddin - De
00NUQE,Tre Caerfyrddin - Gorllewin
00NUQF,Cenarth
00NUQG,Cil-y-cwm
00NUQH,Cynwyl Elfed
00NUQJ,Cynwyl Gaeo
00NUQK,Dafen
00NUQL,Elli
00NUQM,Felin-foel
00NUQN,Garnant
00NUQP,Glanaman
00NUQQ,Glanymìr
00NUQR,Glyn
00NUQS,Gors-las
00NUQT,Hendy
00NUQU,Hengoed
00NUQW,Cydweli
00NUQX,Treflan Talacharn
00NUQY,Llanboidy
00NUQZ,Llanddarog
00NURA,Llandeilo
00NURB,Llanymddyfri
00NURC,Llandybãe
00NURD,Llanegwad
00NURE,Llanfihangel Aberbythych
00NURF,Llanfihangel-ar-Arth
00NURG,Llangadog
00NURH,Llangeler
00NURJ,Llangennech
00NURK,Llangynnwr
00NURL,Llangyndeyrn
00NURM,Llan-non
00NURN,Llansteffan
00NURP,Llanybydder
00NURQ,Lliedi
00NURR,Llwynhendy
00NURS,Monardeilo a Salem
00NURT,Pembre
00NURU,Pen-y-groes
00NURW,Pontaman
00NURX,Pontyberem
00NURY,Cwarter Bach
00NURZ,Sanclàr
00NUSA,Llanismel
00NUSB,Saron
00NUSC,Swiss Valley
00NUSD,Tre-lech
00NUSE,Trimsaran
00NUSF,Ty-croes
00NUSG,Tyisa
00NUSH,Hendy-Gwyn ar Daf
00NXNW,Llandeilo Ferwallt
00NXNX,Bonymaen
00NXNY,Castell
00NXNZ,Clydach
00NXPA,Y Cocyd
00NXPB,Cwmbwrla
00NXPC,Dynfant
00NXPD,Fairwood
00NXPE,Gorseinon
00NXPF,Gwyr
00NXPG,Tregwyr
00NXPH,Cile - Gogledd
00NXPJ,Cile - De
00NXPK,Pontybrenin
00NXPL,Glandwr
00NXPM,Llangyfelach
00NXPN,Llansamlet
00NXPP,Casllwchwr Isaf
00NXPQ,Mawr
00NXPR,Mayals
00NXPS,Treforys
00NXPT,Mynydd-bach
00NXPU,Newton
00NXPW,Ystumllwynarth
00NXPX,Pen-clawdd
00NXPY,Penderi
00NXPZ,Penlle'r-gaer
00NXQA,Pennard
00NXQB,Penyrheol
00NXQC,Pontarddulais
00NXQD,St. Thomas
00NXQE,Sgeti
00NXQF,Townhill
00NXQG,Uplands
00NXQH,Casllwchwr Uchaf
00NXQJ,West Cross
00NZMA,Aberafan
00NZMB,Aberdulais
00NZMC,Allt-wen
00NZMD,Baglan
00NZME,Blaengwrach
00NZMF,Llansawel Dwyrain
00NZMG,Llansawel Gorllewin
00NZMH,Bryn a Chwmafan
00NZMJ,Bryn-coch - Gogledd
00NZMK,Bryn-coch - De
00NZML,Llangatwg
00NZMM,Cimla
00NZMN,Coed-ffranc - Canol
00NZMP,Coed-ffranc - Gogledd
00NZMQ,Coed-ffranc - Gorllewin
00NZMR,Creunant
00NZMS,Cwmllynfell
00NZMT,Cymer
00NZMU,Dyffryn
00NZMW,Glyncorrwg
00NZMX,Glyn-nedd
00NZMY,Godre'r Graig
00NZMZ,Gwauncaegurwen
00NZNA,Gwynfi
00NZNB,Brynaman Isaf
00NZNC,Margam
00NZND,Castell-Nedd - Dwyrain
00NZNE,Castell-Nedd - Gogledd
00NZNF,Castell-Nedd - De
00NZNG,Onllwyn
00NZNH,Pelenna
00NZNJ,Pontardawe
00NZNK,Port Talbot
00NZNL,Resolfen
00NZNM,Rhos
00NZNN,Sandfields - Dwyrain
00NZNP,Sandfields - Gorllewin
00NZNQ,Blaendulais
00NZNR,Tai-bach
00NZNS,Tonna
00NZNT,Trebannws
00NZNU,Ystalyfera
00PBNF,Abercynffig
00PBNG,Betws
00PBNH,Melin Ifan Ddu
00PBNJ,Blaengarw
00PBNK,Bracla
00PBNL,Brynceithin
00PBNM,Bryn-coch
00PBNN,"Bryntirion, Laleston a Merthyr Mawr"
00PBNP,Caerau
00PBNQ,Cefn Cribwr
00PBNR,Cefn Glas
00PBNS,Coety
00PBNT,Corneli
00PBNU,Llangrallo Isaf
00PBNW,Felindre
00PBNX,Hendre
00PBNY,Litchard
00PBNZ,Llangeinwyr
00PBPA,Llangewydd a Brynhyfryd
00PBPB,Llangynwyd
00PBPC,Maesteg - Dwyrain
00PBPD,Maesteg - Gorllewin
00PBPE,Morfa
00PBPF,Nant-y-moel
00PBPG,Y Castellnewydd
00PBPH,Newton
00PBPJ,Notais
00PBPK,Cwm Ogwr
00PBPL,Hengastell
00PBPM,Pen-dre
00PBPN,Penprysg
00PBPP,Pen-y-fai
00PBPQ,Pontycymer
00PBPR,Porthcawl Dwyrain Canol
00PBPS,Porthcawl Gorllewin Canol
00PBPT,Y Pål
00PBPU,Rest Bay
00PBPW,Sarn
00PBPX,Ynysawdre
00PDMZ,Baruc
00PDNA,Buttrills
00PDNB,Catwg
00PDNC,Castleland
00PDND,Cornerswell
00PDNE,Court
00PDNF,Y Bont-faen
00PDNG,Dinas Powys
00PDNH,Dyfan
00PDNJ,Gibbonsdown
00PDNK,Illtud
00PDNL,Llandoche
00PDNM,Llandw/Ewenni
00PDNN,Llanilltud Fawr
00PDNP,Llanbedr-y-Fro
00PDNQ,Plymouth
00PDNR,Y Rhws
00PDNS,Sain Tathan
00PDNT,St. Augustine's
00PDNU,Sant-y-Brid
00PDNW,Stanwell
00PDNX,Sili
00PDNY,Gwenfì
00PFPH,Aberaman - Gogledd
00PFPJ,Aberaman - De
00PFPK,Abercynon
00PFPL,Aberder - Dwyrain
00PFPM,Aberder Gorllewin / Llwytgred
00PFPN,Y Beddau
00PFPP,Brynna
00PFPQ,Gartholwg
00PFPR,Cilfynydd
00PFPS,Cwm Clydach
00PFPT,Cwm-bach
00PFPU,Cymer
00PFPW,Glynrhedynnog
00PFPX,Gilfach Goch
00PFPY,Glyn-coch
00PFPZ,Y Graig
00PFQA,Y Ddraenen Wen
00PFQB,Hirwaun
00PFQC,Llanharan
00PFQD,Llanhari
00PFQE,Tref Llantrisant
00PFQF,Llanilltud Faerdref
00PFQG,Llwyn-y-pia
00PFQH,Y Maerdy
00PFQJ,Aberpennar - Dwyrain
00PFQK,Aberpennar - Gorllewin
00PFQL,Penrhiw-ceiber
00PFQM,Pentre
00PFQN,Pen-y-graig
00PFQP,Pen-y-waun
00PFQQ,Pont-y-clun
00PFQR,Tref Pontypridd
00PFQS,Y Porth
00PFQT,Rhigos
00PFQU,Rhondda
00PFQW,Rhydfelen - Canol / Llan
00PFQX,Ffynon Taf
00PFQY,Tonysguboriau
00PFQZ,Ton-teg
00PFRA,Tonypandy
00PFRB,Tonyrefail - Dwyrain
00PFRC,Tonyrefail - Gorllewin
00PFRD,Trallwng
00PFRE,Trealaw
00PFRF,Trefforest
00PFRG,Treherbert
00PFRH,Treorci
00PFRJ,Pendyrus
00PFRK,Ty'n-y-nant
00PFRL,Ynys-hir
00PFRM,Ynys-y-bwl
00PFRN,Ystrad
00PHMA,Bedlinog
00PHMB,Cyfarthfa
00PHMC,Dowlais
00PHMD,Gurnos
00PHME,Ynyswen
00PHMF,Parc
00PHMG,Penydarren
00PHMH,Plymouth
00PHMJ,Y Dref
00PHMK,Treharris
00PHML,Faenor
00PKNP,Aberbargod
00PKNQ,Abercarn
00PKNR,Cwm Aber
00PKNS,Argoed
00PKNT,Bargod
00PKNU,"Bedwas, Tretomos a Machen"
00PKNW,Coed Duon
00PKNX,Cefn Fforest
00PKNY,Crosskeys
00PKNZ,Crymlyn
00PKPA,Cwm Darran
00PKPB,Gilfach
00PKPC,Hengoed
00PKPD,Llanbradach
00PKPE,Maes-y-cwmwr
00PKPF,Morgan Jones
00PKPG,Moria
00PKPH,Nelson
00PKPJ,Trecelyn
00PKPK,Tredegar Newydd
00PKPL,Pengam
00PKPM,Penmaen
00PKPN,Pen-yr-heol
00PKPP,Pontllan-fraith
00PKPQ,Pontlotyn
00PKPR,Rhisga - Dwyrain
00PKPS,Rhisga - Gorllewin
00PKPT,Catwg Sant
00PKPU,Sant Iago
00PKPW,Sant Martin
00PKPX,Twyn Carno
00PKPY,Ynys-ddu
00PKPZ,Ystrad Mynach
00PLMA,Abertyleri
00PLMB,Badminton
00PLMC,Cendl
00PLMD,Blaenau
00PLME,Brynmawr
00PLMF,Cwm
00PLMG,Cwmtyleri
00PLMH,Glynebwy - Gogledd
00PLMJ,Glynebwy - De
00PLMK,Georgetown
00PLML,Llanhiledd
00PLMM,Nantyglo
00PLMN,Rasa
00PLMP,Sirhywi
00PLMQ,Six Bells
00PLMR,Tredegar - Canol a Gorllewin
00PMNC,Abersychan
00PMND,Blaenafon
00PMNE,Bryn-wern
00PMNF,Coed Efa
00PMNG,Croesyceiliog - Gogledd
00PMNH,Croesyceiliog - De
00PMNJ,Cwmynysgoi
00PMNK,Fairwater
00PMNL,Greenmeadow
00PMNM,Llantarnam
00PMNN,Llanyrafon - Gogledd
00PMNP,Llanyrafon - De
00PMNQ,New Inn
00PMNR,Pant-teg
00PMNS,Pontnewydd
00PMNT,Pontnewynydd
00PMNU,Pont-y-pwl
00PMNW,St. Cadocs/Penygarn
00PMNX,St. Dials
00PMNY,Snatchwood
00PMNZ,Trefddyn
00PMPA,Two Locks
00PMPB,Cwmbren Uchaf
00PMPC,Wainfelin
00PPNQ,Caer-went
00PPNR,Castell Cil-y-coed
00PPNS,Cantref
00PPNT,Castell
00PPNU,Croesonnen
00PPNW,Crucornau Fawr
00PPNX,Devauden
00PPNY,Llanddewi
00PPNZ,Dixton gydag Oxbaston
00PPPA,Drybridge
00PPPB,Goetre Fawr
00PPPC,Green Lane
00PPPD,Grofield
00PPPE,Lansdown
00PPPF,Larkfield
00PPPG,Llanbadog
00PPPH,Bryn Llanelli
00PPPJ,Llan-ffwyst Fawr
00PPPK,Llangybi Fawr
00PPPL,Llanofer
00PPPM,Llandeilo Gresynni
00PPPN,Llanwenarth Tu Draw
00PPPP,Y Maerdy
00PPPQ,Mill
00PPPR,Llanfihangel Troddi
00PPPS,Overmonnow
00PPPT,Porth Sgiwed
00PPPU,Y Priordy
00PPPW,Rhaglan
00PPPX,Rogiet
00PPPY,St. Arvans
00PPPZ,St. Christopher's
00PPQA,St. Kingsmark
00PPQB,St. Mary's
00PPQC,Hafren
00PPQD,Drenewydd Gelli-farch
00PPQE,The Elms
00PPQF,Thornwell
00PPQG,Tryleg Unedig
00PPQH,Brynbuga
00PPQJ,West End
00PPQK,Wyesham
00PRMX,Allt-yr-ynn
00PRMY,Alway
00PRMZ,Beechwood
00PRNA,Betws
00PRNB,Caerllion
00PRNC,Y Gaer
00PRND,Y Graig
00PRNE,Langstone
00PRNF,Liswerry
00PRNG,Llan-wern
00PRNH,Malpas
00PRNJ,Maerun
00PRNK,Pilgwenlli
00PRNL,Ringland
00PRNM,Ty Du
00PRNN,Sain Silian
00PRNP,Shaftesbury
00PRNQ,Stow Hill
00PRNR,Parc Tredegar
00PRNS,Victoria
00PTNF,Adamsdown
00PTNG,Butetown
00PTNH,Caerau
00PTNJ,Treganna
00PTNK,Cathays
00PTNL,Creigiau/Sain Ffagan
00PTNM,Cyncoed
00PTNN,Trel†i
00PTNP,Tyllgoed
00PTNQ,Gabalfa
00PTNR,Grangetown
00PTNS,Y Mynydd Bychan
00PTNT,Llys-faen
00PTNU,Llandaf
00PTNW,Ystum Taf
00PTNX,Llanisien
00PTNY,Llanrhymni
00PTNZ,Pen-twyn
00PTPA,Pentyrch
00PTPB,Pen-y-lan
00PTPC,Plasnewydd
00PTPD,Pontprennau/Hen Laneirwg
00PTPE,Radur
00PTPF,Rhiwbeina
00PTPG,Glanyrafon
00PTPH,Tredelerch
00PTPJ,Y Sblot
00PTPK,Trowbridge
00PTPL,Yr Eglwys Newydd a Thongwynlais
"00QAMA","Dyce/Bucksburn/Danestone"
"00QAMB","Bridge of Don"
"00QAMC","Kingswells/Sheddocksley"
"00QAMD","Northfield"
"00QAME","Hilton/Stockethill"
"00QAMF","Tillydrone/Seaton/Old Aberdeen"
"00QAMG","Midstocket/Rosemount"
"00QAMH","George St/Harbour"
"00QAMJ","Lower Deeside"
"00QAMK","Hazlehead/Ashley/Queens Cross"
"00QAML","Airyhall/Broomhill/Garthdee"
"00QAMM","Torry/Ferryhill"
"00QAMN","Kincorth/Loirston"
"00QBMA","Banff and District"
"00QBMB","Troup"
"00QBMC","Fraserburgh and District"
"00QBMD","Central Buchan"
"00QBME","Peterhead North and Rattray"
"00QBMF","Peterhead South and Cruden"
"00QBMG","Turriff and District"
"00QBMH","Mid Formartine"
"00QBMJ","Ellon and District"
"00QBMK","West Garioch"
"00QBML","Inverurie and District"
"00QBMM","East Garioch"
"00QBMN","Westhill and District"
"00QBMP","Huntly, Strathbogie and Howe of Alford"
"00QBMQ","Aboyne, Upper Deeside and Donside"
"00QBMR","Banchory and Mid Deeside"
"00QBMS","North Kincardine"
"00QBMT","Stonehaven and Lower Deeside"
"00QBMU","Mearns"
"00QCMA","Kirriemuir and Dean"
"00QCMB","Brechin and Edzell"
"00QCMC","Forfar and District"
"00QCMD","Monifeith and Sidlaw"
"00QCME","Carnoustie and District"
"00QCMF","Arbroath West and Letham"
"00QCMG","Arbroath East and Lunan"
"00QCMH","Montrose and District"
"00QDMA","South Kintyre"
"00QDMB","Kintyre and the Islands"
"00QDMC","Mid Argyll"
"00QDMD","Oban South and the Isles"
"00QDME","Oban North and Lorn"
"00QDMF","Cowal"
"00QDMG","Dunoon"
"00QDMH","Isle of Bute"
"00QDMJ","Lomond North"
"00QDMK","Helensburgh Central"
"00QDML","Helensburgh and Lomond South"
"00QEMA","Tweeddale West"
"00QEMB","Tweeddale East"
"00QEMC","Galashiels and District"
"00QEMD","Selkirkshire"
"00QEME","Leaderdale and Melrose"
"00QEMF","Mid Berwickshire"
"00QEMG","East Berwickshire"
"00QEMH","Kelso and District"
